"Technology","Quadrant","Maturity","Description","Product URL","AI URL","moved / no change","project Count","Customer strategic"
"Owl","Dev Language","phase out","The W3C Web Ontology Language (OWL) is a Semantic Web language designed to represent rich and complex knowledge about things, groups of things, and relations between things.","http://www.w3.org/2001/sw/wiki/OWL","","n","1",""
"PL/SQL","Dev Language","phase out","PL/SQL (Procedural Language/Structured Query Language) is Oracle Corporation's procedural language extension for SQL and the Oracle relational database (source Wikipedia)"," ","","n","12",""
"Ruby","Dev Language","phase out","Ruby is a dynamic, reflective, object-oriented, general-purpose programming language. (Source Wikipedia)"," ","","n","3","Y"
"Stored Procedures","Dev Language","phase out",""," ","","n","9",""
"VB","Dev Language","phase out",""," ","","n","1","Y"
"VB.NET","Dev Language","phase out","Visual Basic .NET (VB.NET) is a multi-paradigm, high level programming language, implemented on the .NET Framework.(Source Wikipedia)"," ","","n","3","Y"
"VBA","Dev Language","phase out",""," ","http://connect/Communities/SIGs/Bytesize/Documents/MS%20VBA%20Part1%20-%20What%20and%20why.wav","n","0",""
"Jira","Dev Tool","invest","Jira is a proprietary issue tracking product, developed by Atlassian. It provides bug tracking, issue tracking, and project management functions. (source Wikipedia)","https://www.atlassian.com/software/jira","http://connect/communities/sigs/jira/Pages/default.aspx","n","34",""
"Maven","Dev Tool","invest","Maven is a build automation tool used primarily for Java projects. Maven addresses two aspects of building software: First, it describes how software is built, and second, it describes its dependencies.  (Source Wikipedia)"," ","","n","13",""
"Puppet","Dev Tool","invest","Puppet Enterprise helps you automate repetitive tasks, make rapid changes and deploy critical applications, on prem or in the cloud. ","http://puppetlabs.com/","","n","5",""
"Sonotype Nexus","Dev Tool","invest","","http://www.sonatype.com/nexus","","n","1",""
"Swagger","Dev Tool","invest","Swagger is a specification for defining the interface of a REST Web Service (source Wikipedia)","https://helloreverb.com/developers/swagger","","n","2",""
"Enterprise Architect","Dev Tool","invest","Sparx Systems Enterprise Architect is a visual modeling and design tool ","http://www.sparxsystems.com/products/ea/","http://connect/Communities/SIGs/Bytesize/Documents/An%20Intro%20to%20Sparx%20Enterprise%20Architect.wav","n","23",""
"Git","Dev Tool","invest","Git is a distributed revision control and source code management system with an emphasis on speed, data integrity, and support for distributed, non-linear workflows.(sourced Wikipedia)"," ","","n","22",""
"Jenkins","Dev Tool","maintain","Jenkins is an open source continuous integration tool written in Java. The project was forked from Hudson after a dispute with Oracle. (source Wikipedia)"," ","","n","20",""
"MSBuild","Dev Tool","maintain","build system for Visual Studio"," ","","n","5",""
"Eclipse","Dev Tool","maintain","Eclipse is an integrated development environment (IDE). It contains a base workspace and an extensible plug-in system for customizing the environment. (source Wikipedia)"," ","","n","18",""
"Visual Studio","Dev Tool","maintain","Microsoft Visual Studio is an integrated development environment (IDE) from Microsoft. It is used to develop computer programs for Microsoft Windows, as well as web sites, web applications and web services. (source Wikipedia)"," ","","n","17",""
"MooD","Dev Tool","maintain",""," ","","n","3",""
"XML Spy","Dev Tool","maintain","XMLSpy is an XML editor and integrated development environment (IDE) developed by Altova. XMLSpy allows developers to create XML-based and Web services applications using technologies such as XML, XBRL, XML Schema, XSLT, XPath, XQuery, WSDL and SOAP. (source Wikipedia)"," ","","n","10",""
"TortoiseSVN","Dev Tool","maintain","TortoiseSVN is a windows source controll tool built around Apache SVN. TortoiseMerge is a diff / merge software tool for windows with a tight integration for TortoiseSVN"," ","","n","5",""
"IBM RTC","Dev Tool","phase out","Rational Team Concert is a software development team collaboration tool developed by the Rational Software brand of IBM. (Source Wikipedia)"," ","","n","3",""
"Team Foundation Server","Dev Tool","phase out","Team Foundation Server (commonly abbreviated to TFS) is a Microsoft product which provides source code management (either via Team Foundation Version Control or Git), reporting, requirements management, project management (for both agile software development and waterfall teams), automated builds, lab management, testing and release management capabilities. It covers the entire Application Lifecycle Management. (Source Wikipedia)"," ","","n","6",""
"Trac","Dev Tool","phase out",""," ","","n","2",""
"Hudson","Dev Tool","phase out","Hudson is a continuous integration (CI) tool written in Java, which runs in a servlet container, such as Apache Tomcat. Wikipedia, http://hudson-ci.org/  "," ","","n","0",""
"Team Foundation Server_b","Dev Tool","phase out","Team Foundation Server (commonly abbreviated to TFS) is a Microsoft product which provides source code management (either via Team Foundation Version Control or Git), reporting, requirements management, project management (for both agile software development and waterfall teams), automated builds, lab management, testing and release management capabilities. It covers the entire Application Lifecycle Management. (Source Wikipedia)"," ","","n","5",""
"NetBeans","Dev Tool","phase out","NetBeans is an integrated development environment (IDE) for developing primarily with Java, but also with other languages, in particular PHP, C/C++, and HTML5 (source Wikipedia)"," ","","n","4",""
"Perforce","Dev Tool","phase out","Git is a distributed revision control and source code management system with an emphasis on speed, data integrity, and support for distributed, non-linear workflows.(sourced Wikipedia).
Git is internet-based but there is an Enterprise Git for corporate use and related tools like Stash, which Atlassian's variant"," ","","n","12",""
"Team Foundation Server_c","Dev Tool","phase out","Team Foundation Server (commonly abbreviated to TFS) is a Microsoft product which provides source code management (either via Team Foundation Version Control or Git), reporting, requirements management, project management (for both agile software development and waterfall teams), automated builds, lab management, testing and release management capabilities. It covers the entire Application Lifecycle Management. (Source Wikipedia)"," ","","n","14",""
"Chef","Dev Tool","watch",""," ","","n","1",""
"npm","Dev Tool","watch",""," ","","n","3",""
"Lumension","Platform","invest",""," ","","n","3",""
"Drupal","Platform","invest","CMS","https://www.drupal.org/","","n","1",""
"Sharepoint","Platform","invest","Microsoft Document management system"," ","","n","0",""
"Apache","Platform","maintain",""," ","","n","4",""
"Jboss","Platform","maintain","Jboss is commonly used to refer to the open source Java application server."," ","","n","5","Y"
"Microsoft IIS","Platform","maintain","Internet Information Services is an extensible web server created by Microsoft for use with Windows NT family. IIS supports HTTP, HTTPS, FTP, FTPS, SMTP and NNTP. (source Wikipedia)"," ","","n","12",""
"Oracle Weblogic","Platform","maintain","Oracle WebLogic Server is a Java EE application server currently developed by Oracle Corporation. (Source Wikipedia)"," ","","n","2",""
"Tomcat","Platform","maintain","Apache Tomcat is an open source web server and servlet container developed by the Apache Software Foundation. Tomcat implements the Java Servlet and the JavaServer Pages (JSP) specifications from Sun Microsystems, and provides a ""pure Java"" HTTP web server environment for Java code to run in. (source Wikipedia)"," ","","n","11",""
"Citrix","Platform","maintain",""," ","","n","3",""
"VirtualBox","Platform","maintain",""," ","","n","6",""
"VMWare","Platform","maintain","<quality issue> This could be one of Workstation/Fusion/Player/vSphere/Server"," ","","n","18",""
"Alfresco","Platform","maintain","open platform for business critical document management / content management","https://www.atlassian.com/software/bamboo?_mid=3d70cbc3514c9939834e58b5e93de810&gclid=CObdjfnCmsECFcoBwwodIq0ALg","","n","1",""
"ESRI ArcGIS Server","Platform","maintain","GIS application server for map / geo applications"," ","","n","3",""
"Linux","Platform","maintain","Linux is a Unix-like and mostly POSIX-compliant computer operating system assembled under the model of free and open source software development and distribution. (source Wikipedia)"," ","","n","26",""
"Windows Server","Platform","maintain","Windows Server is a brand name for a group of server operating systems released by Microsoft. It includes all Windows operating systems that have ""Windows Server"" (apart from Home and MultiPoint) in their names, plus Windows 2000, but not any other Microsoft product. (source Wikipedia)"," ","","n","24",""
"Oracle Application Server","Platform","phase out",""," ","","n","2",""
"Palantir","Platform","phase out","Data analysis environment"," ","","n","0",""
"SAS","Platform","phase out",""," ","","n","0",""
"SAS Dataflux","Platform","phase out",""," ","","n","0",""
"SAS Enterprise Guide","Platform","phase out",""," ","","n","2",""
"Splunk","Platform","phase out",""," ","","n","3",""
"Wildfly","Platform","watch","JEE Application server replacing JBoss"," ","","m","1",""
"Amazon AWS","Platform","watch",""," ","","n","1",""
"Infosphere MDM","Solution Technology","invest",""," ","","n","1",""
"MapReduce","Solution Technology","invest","MapReduce is a programming model and an associated implementation for processing and generating large data sets with a parallel, distributed algorithm on a cluster"," ","","n","0",""
"QlikView","Solution Technology","invest","The QlikView Business Discovery platform aims to deliver self-service BI.(Source Wikipedia)"," ","http://connect/Communities/SIGs/Bytesize/Documents/What%20makes%20Qlikview%20different.pptx","n","5",""
"Oracle BPEL","Solution Technology","invest","Oracle BPEL Process Manager is a BPEL engine that is a member of the Oracle Fusion Middleware family of products. It enables enterprises to orchestrate disparate applications and Web services into business processes. The ability to quickly build and deploy these processes in a standards-based manner delivers critical functionality for developing a Service-Oriented Architecture (source Wikipedia)"," ","","n","3",""
"Oracle BPMN","Solution Technology","invest",""," ","","n","1",""
"Allegro Graph","Solution Technology","invest","","http://franz.com/agraph/allegrograph/","","n","0",""
"Elastic Search","Solution Technology","invest","Elasticsearch is a search server based on Lucene. It provides a distributed, multitenant-capable full-text search engine with a RESTful web interface and schema-free JSON documents. (Source Wikipedia)","http://www.elasticsearch.org/","","n","7","Y"
"Hadoop","Solution Technology","invest","Apache Hadoop is an open-source software framework for storage and large-scale processing of data-sets on clusters of commodity hardware. (Source Wikipedia)"," ","http://connect/Communities/SIGs/Bytesize/Documents/Bytesize%20Hadoop%20and%20MapReduce%20-%20An%20Overview.ppt","n","2","Y"
"SQL Server","Solution Technology","invest","Microsoft SQL Server is a relational database management system developed by Microsoft (sourced Wikipedia)"," ","","n","9","Y"
"Talend","Solution Technology","invest","Talend’s data integration products provide an extensible, highly-performant, open source set of tools to access, transform and integrate data from any business system in real time or batch to meet both operational and analytical data integration needs","https://www.talend.com/","http://connect/teamshare/DataPractice/Accelerating%20Data%20Value/Intro%20to%20ETL%20-%202008.ppt","n","2",""
"ActiveMQ","Solution Technology","invest",""," ","","n","1",""
"Camel","Solution Technology","invest","Apache Camel is a rule-based routing and mediation engine that provides a Java object-based implementation of the Enterprise Integration Patterns using an API (or declarative Java Domain Specific Language) to configure routing and mediation rules. (sourced Wikipedia)","http://camel.apache.org/","","n","5","Y"
"Jersey","Solution Technology","invest",""," ","","n","2",""
"Logstash","Solution Technology","invest","logstash is a tool for managing events and logs. You can use it to collect logs, parse them, and store them for later use (like, for searching)."," ","","n","2",""
"REST","Solution Technology","invest",""," ","","n","4",""
"WebAPI","Solution Technology","invest","ASP.NET Web API is a framework that makes it easy to build HTTP services that reach a broad range of clients, including browsers and mobile devices."," ","","n","1",""
"AngularJS","Solution Technology","invest","AngularJS is an open-source web application framework, maintained by Google and community, that assists with creating single-page applications, one-page web applications that only require HTML, CSS, and JavaScript on the client side. Its goal is to augment web applications with model–view–controller (MVC) capability, in an effort to make both development and testing easier. (Source Wikipedia)","https://angularjs.org/#!/","","n","5","Y"
"CSS","Solution Technology","invest","Cascading Style Sheets (CSS) is a style sheet language used for describing the look and formatting of a document written in a markup language."," ","","n","13",""
"D3","Solution Technology","invest","","http://d3js.org/","","n","3",""
"HTML5","Solution Technology","invest","HTML5 is the fifth revision of the core technology markup language of the Internet used for structuring and presenting content for the World Wide Web.  Its core aims have been to improve the language with support for the latest multimedia while keeping it easily readable by humans and consistently understood by computers and devices (web browsers, parsers, etc.). HTML5 is intended to subsume not only HTML 4, but also XHTML. (Source Wikipedia)"," ","","n","9","Y"
"Javascript","Solution Technology","invest","JavaScript (JS) is a dynamic computer programming language.[5] It is most commonly used as part of web browsers, whose implementations allow client-side scripts to interact with the user, control the browser, communicate asynchronously, and alter the document content that is displayed.[5] It is also being used in server-side network programming (with Node.js), game development and the creation of desktop and mobile applications. (Source Wikipedia)"," ","","n","19",""
"Experian QuickAddress","Solution Technology","maintain",""," ","","n","1",""
"InfoSphere Streams","Solution Technology","maintain","Streaming analytics platform","http://www-01.ibm.com/software/data/infosphere/stream-computing/","","n","1",""
"Active Directory","Solution Technology","maintain","Active Directory (AD) is a directory service that Microsoft developed for Windows domain networks and is included in most Windows Server operating systems as a set of processes and services.(Source Wikipedia)"," ","","n","14",""
"MySQL","Solution Technology","maintain",""," ","","n","4","Y"
"Oracle ","Solution Technology","maintain","Oracle is an mature commercial industrial strength Relational Database Management System"," ","","n","27","Y"
"IBM MQ","Solution Technology","maintain","IBM WebSphere MQ is a Message Oriented Middleware offering. It allows independent and potentially non-concurrent applications on a distributed system to communicate with each other. (sourced Wikipedia)"," ","","n","6",""
"Rabbit MQ","Solution Technology","maintain","","http://www.rabbitmq.com/","","n","2",""
"XMPP","Solution Technology","maintain","Instant Chat messaging protocol"," ","","n","2",""
"AutoMapper","Solution Technology","maintain",""," ","","n","1",""
"EJB3","Solution Technology","maintain","Enterprise JavaBeans (EJB) is a managed, server-side component architecture for modular construction of enterprise applications. (Source Wikipedia)"," ","","n","3",""
"EntityFramework","Solution Technology","maintain","Entity Framework (EF) is an object-relational mapper that enables .NET developers to work with relational data using domain-specific objects."," ","","n","2",""
"Exchange","Solution Technology","maintain","Microsoft Exchange Server APIs"," ","","n","2",""
"log4j","Solution Technology","maintain","Apache log4j is a Java-based logging utility (source Wikipedia)"," ","","n","4",""
"log4net","Solution Technology","maintain","The Apache log4net library is a tool to help the programmer output log statements to a variety of output targets. log4net is a port of the excellent Apache log4j framework to the Microsoft .NET runtime."," ","","n","7",""
"OpenFire","Solution Technology","maintain","XMPP server"," ","","n","1",""
"Quartz","Solution Technology","maintain","Java based scheduling library"," ","","n","2",""
"Spring","Solution Technology","maintain","The Spring Framework is an open source application framework and inversion of control container for the Java platform. The framework's core features can be used by any Java application, but there are extensions for building web applications on top of the Java EE platform. Although the framework does not impose any specific programming model, it has become popular in the Java community as an alternative to, replacement for, or even addition to the Enterprise JavaBean (EJB) model. (Source Wikipedia)"," ","","n","3",""
"Tika","Solution Technology","maintain","The Apache Tika toolkit detects and extracts metadata and text content from various documents - from PPT to CSV to PDF - using existing parser libraries"," ","","n","3",""
"Windows Communication Foundation (WCF)","Solution Technology","maintain","The Windows Communication Foundation (or WCF), is a runtime and a set of APIs in the .NET Framework for building connected, service-oriented applications(Source Wikipedia)"," ","","n","3",""
"ESRI ArcGIS Client API","Solution Technology","maintain","Esri's ArcGIS is a geographic information system (GIS) for working with maps and geographic information. It is used for: creating and using maps; compiling geographic data; analyzing mapped information; sharing and discovering geographic information; using maps and geographic information in a range of applications; and managing geographic information in a database (Source Wikipedia)"," ","","n","3",""
"HTML","Solution Technology","maintain","<quality issue> HyperText Markup Language is the standard markup language used to create web pages."," ","","n","23",""
"jQuery","Solution Technology","maintain","jQuery is a cross-platform JavaScript library designed to simplify the client-side scripting of HTML.(sourced Wikipedia)"," ","","n","12",""
"Kibana","Solution Technology","maintain","By exploring these networks, you will be able to understand your data in whole new ways,"," ","","n","2",""
"Oracle APEX","Solution Technology","maintain",""," ","","n","1",""
"Windows Presentation Foundation (WPF)","Solution Technology","maintain",""," ","","n","2",""
"i2 Analysts Notebook","Solution Technology","phase out","IBM network oriented analysis tool popular with police forces, used in Soda","http://www-03.ibm.com/software/products/en/analysts-notebook/","","n","1",""
"Mapfish Print","Solution Technology","phase out",""," ","","n","1",""
"Rocket AeroText","Solution Technology","phase out",""," ","","n","1",""
"Oracle Internet Directory","Solution Technology","phase out",""," ","","n","2",""
"OWSM","Solution Technology","phase out",""," ","","n","0",""
"Autonomy","Solution Technology","phase out",""," ","","n","1",""
"Cassandra","Solution Technology","phase out",""," ","","n","1",""
"Lucene","Solution Technology","phase out","Apache Lucene is a free/open source information retrieval software library(sourced Wikipedia)"," ","","n","6","Y"
"Oracle Text","Solution Technology","phase out","Oracle Text is a tool that enables building text query applications and document classification applications. Oracle Text provides indexing, word and theme searching, and viewing capabilities for text."," ","","n","5",""
"SAS Data Integration Studio","Solution Technology","phase out","SAS Data Integration Studio is a visual design tool that simplifies the construction, execution and maintenance of enterprise data integration processes."," ","","n","3",""
"ASN.1","Solution Technology","phase out",""," ","","n","1",""
"Microsoft (MSMQ)","Solution Technology","phase out",""," ","","n","1",""
"Software AG","Solution Technology","phase out",""," ","","n","1",""
"Apache Axis2","Solution Technology","phase out",""," ","","n","1",""
"Hibernate","Solution Technology","phase out","Hibernate ORM is an object-relational mapping library for the Java language, providing a framework for mapping an object-oriented domain model to a traditional relational database. (source Wikipedia)"," ","","n","10",""
"JSP","Solution Technology","phase out",""," ","","n","2",""
"Newtonsoft JSON.NET","Solution Technology","phase out","High-performance JSON framework for .NET "," ","","n","1",""
"NLog","Solution Technology","phase out","NLog is a free logging platform for .NET, Silverlight and Windows Phone."," ","","n","1",""
"Apache MyFaces","Solution Technology","phase out",""," ","","n","2",""
"Apache Tomahawk","Solution Technology","phase out",""," ","","n","1",""
"Apache Trinidad","Solution Technology","phase out",""," ","","n","1",""
"ASP.Net","Solution Technology","phase out","ASP.NET is an open source server-side Web application framework designed for Web development to produce dynamic Web pages. It was developed by Microsoft to allow programmers to build dynamic web sites, web applications and web services (source Wikipedia)"," ","","n","6","Y"
"DevExpress","Solution Technology","phase out",""," ","","n","2",""
"Eclipse RCP","Solution Technology","phase out",""," ","","n","1","Y"
"GWT","Solution Technology","phase out",""," ","","n","1",""
"Java SWT","Solution Technology","phase out",""," ","","n","1",""
"JavaFX","Solution Technology","phase out",""," ","","n","1",""
"JFace","Solution Technology","phase out",""," ","","n","1",""
"JSF","Solution Technology","phase out","JavaServer Faces (JSF) is a Java specification for building component-based user interfaces for web applications. It was formalized as a standard through the Java Community Process and is part of the Java Platform, Enterprise Edition. (sourced Wikipedia)"," ","","n","6",""
"Prime Faces","Solution Technology","phase out",""," ","","n","1",""
"Swing","Solution Technology","phase out",""," ","","n","1",""
"Vaadin","Solution Technology","phase out","Vaadin is a Java framework for building modern web applications. https://vaadin.com/home"," ","","n","1",""
"VB.NET Winforms","Solution Technology","phase out","Windows GUI framework"," ","","n","0",""
"yFiles","Solution Technology","phase out","yFiles for Java is an extensive Java™ class librarythat provides algorithms and components enabling the analysis, visualization, and the automatic layout of graphs, diagrams, and networks. http://www.yworks.com/en/products_yfiles_about.html "," ","","n","1",""
"OpenNLP","Solution Technology","watch","The Apache OpenNLP library is a machine learning based toolkit for the processing of natural language text.","https://opennlp.apache.org/","http://connect/communities/sigs/naturallanguageprocessing/Pages/default.aspx","n","2",""
"Tableau","Solution Technology","watch","""Excel on steroids"" - BI / analysis platform"," ","","n","0",""
"YarcData","Solution Technology","watch","The YarcData Urika graph appliance is a purpose built solution for Big Data relationship analytics."," ","","n","0",""
"Apache Accumulo","Solution Technology","watch","Apache Accumulo is a computer software project that developed a sorted, distributed key/value store based on the BigTable technology from Google.[1] It is a system built on top of Apache Hadoop, Apache ZooKeeper, and Apache Thrift. Written in Java, Accumulo has cell-level access labels and server-side programming mechanisms."," ","","n","1","Y"
"h2","Solution Technology","watch","H2 is a relational database management system written in Java. It can be embedded in Java applications or run in the client-server mode.[1] The disk footprint (size of the jar file) is about 1.5 MB"," ","","n","1",""
"MongoDB","Solution Technology","watch","MongoDB (from ""humongous"") is a cross-platform document-oriented database. Classified as a NoSQL database, MongoDB eschews the traditional table-based relational database structure in favor of JSON-like documents with dynamic schemas (MongoDB calls the format BSON), making the integration of data in certain types of applications easier and faster. (sourced Wikipedia)"," ","http://connect/Communities/SIGs/Bytesize/Documents/Introduction%20to%20MongoDB_V1%200.pptx","n","5","Y"
"Neo4j","Solution Technology","watch","Native graph database (Property Graph model)"," ","","n","1",""
"PostGIS","Solution Technology","watch","PostGIS is a spatial database extender for PostgreSQL object-relational database. It adds support for geographic objects allowing location queries to be run in SQL "," ","","n","1",""
"Denodo","Solution Technology","watch","","http://www.denodo.com/en/index.php","","n","2",""
"Kapow","Solution Technology","watch","Data integration platform","http://www.kapowsoftware.com/","","n","0",""
"NodeJS","Solution Technology","watch","Serverside Javascript see http://www.toptal.com/nodejs/why-the-hell-would-i-use-node-js","http://nodejs.org/","","m","2",""
"Bootstrap","Solution Technology","watch","Bootstrap is a free collection of tools for creating websites and web applications. It contains HTML and CSS-based design templates for typography, forms, buttons, navigation and other interface components, as well as optional JavaScript extensions.  (sourced Wikipedia)"," ","","n","4",""
"Foundation","Solution Technology","watch",""," ","","n","0",""
